Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,Daily_Return,Daily_Range,Candle
2019-12-11,29.09090805053711,29.09090805053711,29.09090805053711,29.09090805053711,24.55695915222168,38289394,,,,0.0,Bearish
2019-12-12,31.983470916748047,31.983470916748047,29.752065658569336,30.41322326660156,25.67318725585937,505692621,,,4.545458717779827,2.231405258178711,Bearish
2019-12-15,30.661157608032227,30.991735458374023,30.41322326660156,30.909090042114254,26.09177017211914,98349281,,,1.6304315105503342,0.5785121917724645,Bullish
2019-12-16,30.991735458374023,31.48760223388672,30.991735458374023,31.404958724975582,26.510353088378903,105973907,,,1.6042810777855188,0.4958667755126953,Bullish
2019-12-17,31.44627952575684,31.5289249420166,30.991735458374023,31.198347091674805,26.33595085144043,142672245,,,-0.6578949366249698,0.5371894836425781,Bearish
2019-12-18,30.991735458374023,31.07438087463379,30.3305778503418,30.3305778503418,25.603422164916992,83822621,,,-2.781459026605182,0.7438030242919886,Bearish
2019-12-19,30.3305778503418,30.37190055847168,29.338842391967773,29.338842391967773,24.76625061035156,108120197,,,-3.2697545799077132,1.0330581665039062,Bearish
2019-12-22,29.42148780822754,29.504131317138672,28.84297561645508,29.173553466796875,24.62672615051269,39709972,,,-0.5633791645990427,0.6611557006835902,Bearish
2019-12-23,29.173553466796875,29.46280860900879,29.132230758666992,29.42148780822754,24.836021423339844,35098090,,,0.849859931231367,0.3305778503417969,Bullish
2019-12-24,29.46280860900879,29.504131317138672,29.173553466796875,29.25619888305664,24.696489334106445,22184338,,,-0.5617966237746685,0.3305778503417969,Bearish
2019-12-25,29.25619888305664,29.25619888305664,29.008264541625977,29.09090805053711,24.55695915222168,13572736,,,-0.5649771290530015,0.24793434143066406,Bearish
2019-12-26,29.049585342407227,29.21487617492676,28.966941833496094,29.21487617492676,24.66161155700684,13863242,,,0.42614044282940355,0.24793434143066762,Bullish
2019-12-29,29.173553466796875,29.504131317138672,29.173553466796875,29.25619888305664,24.696489334106445,22966690,,,0.14144406391611852,0.3305778503417969,Bullish
2019-12-30,29.25619888305664,29.29751968383789,29.049585342407227,29.049585342407227,24.522083282470703,13147121,,,-0.7062214113162546,0.24793434143066406,Bearish
2019-12-31,29.049585342407227,29.132230758666992,28.966941833496094,29.132230758666992,24.591842651367188,16332772,,,0.2844977485414235,0.16528892517089844,Bullish
2020-01-01,29.132230758666992,29.132230758666992,28.966941833496094,29.008264541625977,24.48719596862793,8517342,,,-0.42552943531155574,0.16528892517089844,Bearish
2020-01-02,29.008264541625977,29.132230758666992,28.966941833496094,29.049585342407227,24.522083282470703,11430744,,,0.1424449253830895,0.16528892517089844,Bullish
2020-01-05,28.92561912536621,28.92561912536621,28.51239585876465,28.55371856689453,24.103492736816406,25239125,,,-1.7069667937353206,0.4132232666015625,Bearish
2020-01-06,28.51239585876465,28.55371856689453,28.14049530029297,28.51239585876465,24.06861114501953,23401835,,,-0.1447191826629335,0.4132232666015625,Bearish
2020-01-07,28.47107315063477,28.55371856689453,28.22314071655273,28.388429641723636,23.96396827697754,13923075,29.489669036865234,,-0.43478007830375365,0.3305778503418004,Bearish
2020-01-08,28.09917259216309,28.264461517333984,28.09917259216309,28.264461517333984,23.85931968688965,22150479,29.44834671020508,,-0.4366853889214428,0.16528892517089488,Bullish
2020-01-09,28.388429641723636,28.966941833496094,28.34710693359375,28.92561912536621,24.417428970336918,31310879,29.37396650314331,,2.3391834570305026,0.6198348999023438,Bullish
2020-01-12,28.92561912536621,29.049585342407227,28.55371856689453,28.760330200195312,24.27790260314941,24584632,29.266528511047362,,-0.5714274410325348,0.4958667755126953,Bearish
2020-01-13,28.760330200195312,28.92561912536621,28.677684783935547,28.71900749206543,24.243024826049805,16978173,29.132230949401855,,-0.14367953303123793,0.24793434143066406,Bearish
2020-01-14,28.71900749206543,28.801652908325195,28.42975234985352,28.801652908325195,24.312789916992188,12477898,29.012396240234374,,0.2877725362988137,0.37190055847167613,Bullish
2020-01-15,28.760330200195312,28.760330200195312,28.59504127502441,28.677684783935547,24.208139419555664,12987230,28.929751586914062,,-0.4304201733985047,0.165288925170902,Bearish
2020-01-16,28.677684783935547,28.677684783935547,28.51239585876465,28.59504127502441,24.138378143310547,11523975,28.892561531066896,,-0.2881805471180554,0.16528892517089844,Bearish
2020-01-19,28.59504127502441,28.59504127502441,28.305784225463867,28.388429641723636,23.96396827697754,13254735,28.853305339813232,,-0.722543574298784,0.2892570495605433,Bearish
2020-01-20,28.34710693359375,28.59504127502441,28.264461517333984,28.59504127502441,24.138378143310547,8756076,28.811983013153075,,0.727802262782129,0.33057975769042613,Bullish
2020-01-21,28.51239585876465,28.59504127502441,28.388429641723636,28.55371856689453,24.103492736816406,8517485,28.77685899734497,,-0.14451004890128072,0.20661163330077414,Bullish
2020-01-22,28.47107315063477,28.51239585876465,28.388429641723636,28.47107315063477,24.03373336791992,6215751,28.745867252349854,,-0.28943836532584477,0.12396621704101207,Bearish
2020-01-23,28.42975234985352,28.47107315063477,28.305784225463867,28.47107315063477,24.03373336791992,7192433,28.708677101135255,,0.0,0.165288925170902,Bullish
2020-01-26,28.264461517333984,28.388429641723636,28.14049530029297,28.34710693359375,23.92908477783203,9257143,28.66322250366211,,-0.43541111494160845,0.24793434143066762,Bullish
2020-01-27,28.305784225463867,28.305784225463867,28.14049530029297,28.305784225463867,23.89420318603516,8758776,28.626032447814943,,-0.1457739875419639,0.16528892517089844,Bearish
2020-01-28,28.264461517333984,28.305784225463867,28.14049530029297,28.305784225463867,23.89420318603516,8813615,28.584710121154785,,0.0,0.16528892517089844,Bullish
2020-01-29,28.18181800842285,28.42975234985352,28.14049530029297,28.42975234985352,23.99884605407715,10761242,28.555784511566163,,0.43796039495747063,0.2892570495605504,Bullish
2020-01-30,28.42975234985352,28.42975234985352,28.22314071655273,28.22314071655273,23.824438095092773,6889782,28.514462280273438,,-0.7267444005781276,0.20661163330078836,Bearish
